country,cntry.code,EX,EW,CR,EN,VU,NT,LR.cd,DD,LC,total
Algeria,DZA,2,1,15,36,64,55,0,123,891,1187
Angola,AGO,0,0,10,33,69,58,0,227,2418,2815
Benin,BEN,0,0,8,16,46,44,0,114,1610,1838
Botswana,BWA,0,0,4,6,16,29,0,12,999,1066
Burkina Faso,BFA,0,1,5,6,17,21,0,3,784,837
Burundi,BDI,0,0,7,13,34,43,0,33,1049,1179
Cameroon,CMR,0,0,52,106,127,82,0,218,2572,3157
Cape Verde,CPV,1,0,5,21,37,30,0,102,842,1038
Central African Republic,CAF,0,0,8,6,21,24,0,47,1373,1479
Chad,TCD,0,1,11,5,21,20,0,12,831,901
Comoros,COM,0,0,7,19,80,111,0,85,1051,1353
Congo,COG,0,0,8,20,61,41,0,159,1939,2228
Dem Rep Congo,COD,0,0,30,68,137,96,0,437,3511,4279
Cote dIvoire,CIV,0,0,14,36,85,101,0,153,1953,2342
Djibouti,DJI,0,0,4,12,79,130,0,98,1132,1455
Egypt,EGY,1,1,5,27,121,141,2,145,1513,1956
Equatorial Guinea,GNQ,0,0,9,30,51,39,0,122,1545,1796
Eritrea,ERI,0,0,9,14,94,141,0,105,1347,1710
Ethiopia,ETH,0,0,18,31,56,43,0,62,1351,1561
Gabon,GAB,0,0,9,31,69,39,0,179,1951,2278
Gambia,GMB,0,0,8,13,41,44,0,120,1461,1687
Ghana,GHA,0,0,12,30,77,81,0,145,2050,2395
Guinea,GIN,0,0,15,35,91,97,0,175,1921,2334
Guinea-Bissau,GNB,0,0,7,16,49,48,0,120,1448,1688
Kenya,KEN,2,0,43,54,152,188,2,235,2921,3597
Lesotho,LSO,0,0,0,5,9,12,0,2,349,377
Liberia,LBR,0,0,16,34,70,87,0,138,1688,2033
Libya,LBY,0,1,5,17,37,29,0,63,665,817
Madagascar,MDG,13,0,96,272,297,221,2,331,1851,3083
Malawi,MWI,0,0,7,30,115,36,0,48,1375,1611
Mali,MLI,0,1,6,6,22,22,0,9,958,1024
Mauritania,MRT,0,1,11,19,56,49,0,133,1352,1621
Mauritius,MUS,44,0,16,34,116,119,2,111,1147,1589
Mayotte,MYT,5,0,1,12,74,105,0,63,931,1191
Morocco,MAR,2,0,27,56,84,81,0,170,1342,1762
Mozambique,MOZ,0,0,10,44,142,174,2,204,2645,3221
Namibia,NAM,1,0,10,24,54,46,0,113,1635,1883
Niger,NER,0,1,7,5,19,22,0,5,718,777
Nigeria,NGA,0,1,17,42,106,75,0,152,2373,2766
Reunion,REU,18,0,6,20,86,101,0,88,1008,1327
Rwanda,RWA,1,0,12,10,33,36,0,18,986,1096
Saint Helena-Ascension-Tristan da Cunha,SHN,28,0,11,20,25,11,0,62,478,635
Sao Tome and Principe,STP,0,0,7,15,35,14,0,101,697,869
Senegal,SEN,0,1,13,26,72,62,0,165,1763,2102
Seychelles,SYC,21,0,80,151,146,123,2,96,1262,1881
Sierra Leone,SLE,0,0,10,32,70,82,0,152,1746,2092
Somalia,SOM,0,0,9,20,101,149,0,164,1894,2337
South Africa,ZAF,5,0,63,121,240,171,2,297,2722,3621
South Sudan,SSD,0,0,5,9,20,21,0,21,1128,1204
Sudan,SDN,0,1,11,14,92,134,0,115,1909,2276
Swaziland,SWZ,0,0,3,6,14,17,0,7,747,794
Tanzania,TZA,1,1,114,123,245,203,0,319,3439,4445
Togo,TGO,0,0,10,16,42,46,0,112,1682,1908
Tunisia,TUN,11,0,11,26,51,45,0,91,820,1055
Uganda,UGA,1,0,48,27,69,66,0,122,1775,2108
Western Sahara,ESH,0,1,4,13,32,33,0,109,846,1038
Zambia,ZMB,0,0,9,20,38,42,0,74,1743,1926
Zimbabwe,ZWE,0,0,7,12,27,31,0,24,1270,1371
