cntry.code,built.land,carbon,crop,fishing,forest,grazing,EFconsPC12
AFG,0.039722317,0.287220924,0.286620085,0.000151862,0.075891617,0.201745259,0.891352062
ALB,0.056557255,0.954436961,0.80343487,0.024234346,0.266958387,0.245844397,2.351466216
DZA,0.032168215,1.343543871,0.59461865,0.012684583,0.172053313,0.168067939,2.323136571
AGO,0.033120912,0.207831514,0.293777573,0.09241436,0.112344511,0.1394116,0.87890047
ARG,0.096127538,1.27795383,0.730494808,0.08924631,0.28115762,0.768348773,3.24332888
ARM,0.071650238,0.886961256,0.709626479,0.006861373,0.336375507,0.177865732,2.189340585
AUS,0.134900522,5.225686413,2.555849074,0.117118095,0.912306546,0.62381128,9.569671929
AUT,0.146549941,4.133909072,0.781850022,0.056393941,0.629000335,0.268770335,6.016473647
AZE,0.059163404,1.239411362,0.622824418,0.011699255,0.108273997,0.216692325,2.258064761
BGD,0.066248613,0.283115298,0.281185428,0.019776306,0.079498057,0.004508976,0.734332678
BRB,0.040161352,2.429111479,0.529846005,0.234955446,0.136590222,0.240855828,3.611520331
BLR,0.08548027,2.370568519,1.257503942,0.0785018,0.902088202,0.12760078,4.821743513
BEL,0.256608241,4.253603178,1.118815243,0.113416766,0.777989839,0.476104167,6.996537434
BEN,0.035910986,0.345258788,0.482618855,0.069558007,0.263149021,0.041956359,1.238452017
BMU,,,,,,,6.146273247
BTN,0.237037841,0.795064968,0.472198498,0.025127155,2.752213535,0.418582701,4.700224699
BOL,0.060369218,0.708368073,0.42142069,0.008227069,0.174253844,1.719476113,3.092115007
BIH,0.014735288,1.833029712,0.606131905,0.015972394,0.48724366,0.267639262,3.224752221
BWA,,,,,,,3.406437433
BRA,0.083332645,0.863018257,0.583322701,0.044517275,0.587626952,0.833401934,2.995219764
VGB,,,,,,,2.752085035
BGR,0.120970435,2.144194332,0.57053005,0.028962341,0.336157957,0.124895657,3.325710772
BFA,0.05228096,0.128133744,0.449366635,0.025530578,0.357926674,0.167120924,1.180359516
BDI,0.030239435,0.040983274,0.194868042,0.003361366,0.265636982,0.062792184,0.597881282
CPV,,,,,,,1.615423883
KHM,,,,,,,1.222271849
CMR,0.049956655,0.189093385,0.519371212,0.071038408,0.199406962,0.101300364,1.130166986
CAN,0.067799081,5.322769429,1.407574029,0.121432152,1.194832484,0.338617553,8.453024728
CAF,0.033839644,0.039970863,0.283954613,0.018442808,0.25075263,0.538304596,1.165265155
TCD,0.04322388,0.028029482,0.337865952,0.012350403,0.265897604,0.737880015,1.425247335
CHL,0.141085511,2.062846883,0.591200655,0.252006197,0.986523544,0.325041373,4.358704163
CHN,0.112084017,2.460575653,0.531751429,0.080528428,0.1952694,0.129859676,3.510068604
COL,0.083494241,0.669731434,0.347996413,0.032925024,0.159295597,0.563568734,1.857011443
COM,,,,,,,0.982330058
COG,0.031472641,0.379540592,0.212957311,0.087982692,0.372988865,0.088887956,1.173830057
COD,0.047103647,0.078398001,0.138128768,0.013878524,0.480373233,0.012537469,0.770419642
CRI,0.092446699,1.066056151,0.384052135,0.07354484,0.70047208,0.215608152,2.532180058
CIV,0.073961664,0.24399325,0.457958584,0.120302085,0.235672417,0.052651849,1.184539848
HRV,0.052043223,2.206976874,0.674725259,0.068415243,0.700537565,0.146453112,3.849151277
CUB,0.024109479,1.218119434,0.453478026,0.021026633,0.086113874,0.108304499,1.911151947
CYP,0.049273252,2.784055453,0.74877234,0.151996636,0.229724822,0.084403424,4.048225927
CZE,0.111593216,3.508510242,0.50412004,0.030629924,0.74743321,0.253661914,5.155948546
DNK,0.235503688,3.087910675,1.15714958,0.230672045,0.768425405,0.469597803,5.949259196
DJI,,,,,,,2.339911421
DMA,0,1.335594141,0.617470085,0.192092128,0.143351524,0.147180665,2.435688543
DOM,0.042167344,0.875955223,0.328386337,0.041796312,0.120636237,0.117065367,1.52600682
ECU,0.060048826,1.029562315,0.288799637,0.002587258,0.252288424,0.303765048,1.937051508
EGY,0.140368093,0.968259534,0.614012914,0.041379417,0.155460872,0.072141715,1.991622545
SLV,0.045951561,0.753785283,0.437271556,0.117869697,0.41186716,0.215449822,1.982195079
ERI,0.026424552,0.040724084,0.121374766,0.016694938,0.080067736,0.230909601,0.516195677
