cntry.code,arable2014
ABW,2000
AFG,7771000
AGO,4900000
ALB,615600
AND,2800
ARB,
ARE,37500
ARG,39200000
ARM,447500
ASM,3000
ATG,4000
AUS,46957000
AUT,1351700
AZE,1926500
BDI,1200000
BEL,817000
BEN,2700000
BFA,6000000
BGD,7669000
BGR,3486000
BHR,1600
BHS,8000
BIH,1011000
BLR,5670000
BLZ,78000
BMU,300
BOL,4472500
BRA,80017000
BRB,11000
BRN,5000
BTN,100200
BWA,399000
CAF,1800000
CAN,46015000
CEB,
CHE,400200
CHI,4170
CHL,1289200
CHN,105700000
CIV,2900000
CMR,6200000
COD,7100000
COG,550000
COL,1675200
COM,65000
CPV,55000
CRI,232100
CSS,
CUB,3088000
CUW,
CYM,200
CYP,79800
CZE,3143000
DEU,11871000
DJI,2000
DMA,6000
DNK,2432000
DOM,800000
DZA,7469400
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,1017700
EGY,2670000
EMU,
ERI,690000
ESP,12278000
EST,648100
ETH,15119000
EUU,
FCS,
FIN,2230800
FJI,165000
FRA,18333100
FRO,3000
FSM,2000
GAB,325000
GBR,6233500
GEO,457000
GHA,4700000
GIB,
GIN,3100000
GMB,440000
GNB,300000
GNQ,120000
GRC,2600000
GRD,3000
GRL,900
GTM,933800
GUM,1000
GUY,420000
HIC,
HKG,3100
HND,1020000
HPC,
HRV,813200
HTI,1070000
HUN,4404000
IBD,
IBT,
IDA,
IDB,
IDN,23500000
IDX,
IMN,22100
IND,156360000
INX,
IRL,1058000
IRN,14687000
IRQ,5034000
ISL,121200
ISR,300500
ITA,6728000
JAM,120000
JOR,237500
JPN,4223000
KAZ,29395000
KEN,5800000
KGZ,1280600
KHM,3800000
KIR,2000
KNA,5000
KOR,1476000
KWT,9500
LAC,
LAO,1525000
LBN,132000
LBR,500000
LBY,1720000
LCA,3000
LCN,
LDC,
LIC,
LIE,2320
LKA,1300000
LMC,
LMY,
LSO,272300
LTE,
LTU,2350200
LUX,62610
LVA,1209000
MAC,
MAF,
MAR,8130000
MCO,
MDA,1817000
MDG,3500000
MDV,3900
MEA,
MEX,22993090
MHL,2000
MIC,
MKD,414000
MLI,6411000
MLT,8970
MMR,10789000
MNA,
MNE,8730
MNG,567200
MNP,1000
MOZ,5650000
MRT,450000
MUS,75000
MWI,3800000
MYS,954000
NAC,
NAM,800000
NCL,6240
NER,15900000
NGA,34000000
NIC,1504000
NLD,1045000
NOR,806500
NPL,2113700
NRU,
NZL,590000
OED,
OMN,38000
OSS,
PAK,30440000
PAN,563000
PER,4151600
PHL,5590000
PLW,1000
PNG,300000
POL,10928000
PRE,
PRI,61000
PRK,2350000
PRT,1137010
PRY,4800000
PSE,64000
PSS,
PST,
PYF,2500
QAT,13100
ROU,8778000
RUS,123121820
RWA,1149500
SAS,
SAU,3502000
SDN,19823160
SEN,3200000
SGP,560
SLB,20000
SLE,1584000
SLV,750000
SMR,1000
SOM,1100000
SRB,2605700
SSA,
SSD,
SSF,
SST,
STP,8700
SUR,65000
SVK,1394400
SVN,184190
SWE,2588000
SWZ,175000
SXM,
SYC,80
SYR,4662000
TCA,1000
TCD,4900000
TEA,
TEC,
TGO,2650000
THA,16810000
TJK,730000
TKM,1940000
TLA,
TLS,155000
TMN,
TON,18000
TSA,
TSS,
TTO,25000
TUN,2900000
TUR,20706000
TUV,
TZA,13500000
UGA,6900000
UKR,32531000
UMC,
URY,2410600
USA,154604690
UZB,4400000
VCT,5000
VEN,2700000
VGB,1000
VIR,1000
VNM,6409500
VUT,20000
WLD,
WSM,8000
XKX,
YEM,1248000
ZAF,12500000
ZMB,3800000
ZWE,4000000
