country,cntry.code,cont,region,WHOregion
Algeria,DZA,AFR,NAFR,1
Angola,AGO,AFR,MAFR,1
Benin,BEN,AFR,WAFR,1
Botswana,BWA,AFR,SAFR,2
Burkina Faso,BFA,AFR,WAFR,1
Burundi,BDI,AFR,EAFR,2
Cameroon,CMR,AFR,MAFR,1
Cape Verde,CPV,AFR,WAFR,1
Central African Republic,CAF,AFR,MAFR,2
Chad,TCD,AFR,MAFR,1
Comoros,COM,AFR,EAFR,2
Congo,COG,AFR,MAFR,2
Congo Dem Rep,COD,AFR,MAFR,2
Cote dIvoire,CIV,AFR,WAFR,2
Djibouti,DJI,AFR,EAFR,7
Egypt,EGY,AFR,NAFR,7
Equatorial Guinea,GNQ,AFR,MAFR,1
Eritrea,ERI,AFR,EAFR,2
Ethiopia,ETH,AFR,EAFR,2
Gabon,GAB,AFR,MAFR,1
Gambia,GMB,AFR,WAFR,1
Ghana,GHA,AFR,WAFR,1
Guinea,GIN,AFR,WAFR,1
Guinea Bissau,GNB,AFR,WAFR,1
Kenya,KEN,AFR,EAFR,2
Lesotho,LSO,AFR,SAFR,2
Liberia,LBR,AFR,WAFR,1
Libya,LBY,AFR,NAFR,6
Madagascar,MDG,AFR,EAFR,1
Malawi,MWI,AFR,EAFR,2
Mali,MLI,AFR,WAFR,1
Mauritania,MRT,AFR,WAFR,1
Mauritius,MUS,AFR,EAFR,1
Mayotte,MYT,AFR,EAFR,2
Morocco,MAR,AFR,NAFR,7
Mozambique,MOZ,AFR,EAFR,2
Namibia,NAM,AFR,SAFR,2
Niger,NER,AFR,WAFR,1
Nigeria,NGA,AFR,WAFR,1
Reunion,REU,AFR,EAFR,2
Rwanda,RWA,AFR,EAFR,2
Saint Helena-Ascension-Tristan da Cunha,SHN,AFR,SAFR,2
Sao Tome and Principe,STP,AFR,MAFR,1
Senegal,SEN,AFR,WAFR,1
Seychelles,SYC,AFR,EAFR,1
Sierra Leone,SLE,AFR,WAFR,1
Somalia,SOM,AFR,EAFR,7
South Africa,ZAF,AFR,SAFR,2
South Sudan,SSD,AFR,NAFR,2
Sudan,SDN,AFR,NAFR,7
Swaziland,SWZ,AFR,SAFR,2
Tanzania,TZA,AFR,EAFR,2
Togo,TGO,AFR,WAFR,1
Tunisia,TUN,AFR,NAFR,6
Uganda,UGA,AFR,EAFR,2
Western Sahara,ESH,AFR,NAFR,2
Zambia,ZMB,AFR,EAFR,2
