cntry.code,freshw.rem14,freshw.rem9700
ABW,,
AFG,43.0116649,55.37645811
AGO,0.476891892,0.324324324
ALB,4.873605948,4.460966543
AND,,
ARB,225.7255175,
ARE,2665.333333,1405.333333
ARG,12.93835616,9.787671233
ARM,42.87797055,42.64470039
ASM,,
ATG,22.11538462,9.615384615
AUS,4.014227642,4.510162602
AUT,6.349090909,6.685454545
AZE,147.5046211,154.1589649
BDI,2.862823062,0.994035785
BEL,50.04166667,64.08333333
BEN,1.262135922,1.067961165
BFA,6.544,2.664
BGD,34.16190476,
BGR,26.03809524,51.39047619
BHR,8935,5975
BHS,,
BIH,0.923661972,
BLR,4.452941176,5.823529412
BLZ,0.661861075,0.131061599
BMU,,
BOL,0.687973641,0.408566722
BRA,1.321851263,0.794117647
BRB,101.25,101.25
BRN,1.082352941,0.988235294
BTN,0.433333333,
BWA,8.083333333,4.811111111
CAF,0.05141844,0.013758865
CAN,1.361403509,1.514619883
CEB,13.99436473,
CHE,4.962871287,6.518151815
CHI,,
CHL,4.003389831,2.292655367
CHN,21.60682545,17.85164119
CIV,2.015877147,1.319191393
CMR,0.353992674,0.145787546
COD,0.075955556,
COG,0.020720721,0.018018018
COL,0.548717949,
COM,0.833333333,
CPV,7.333333333,
CRI,2.079646018,
CSS,0.957381982,
CUB,18.25550892,13.66998951
CUW,,
CYM,,
CYP,32.73076923,27.22222222
CZE,12.54752852,18.9581749
DEU,30.87850467,42.74299065
DJI,6.333333333,2.666666667
DMA,10,8.3
DNK,10.86666667,21.65833333
DOM,30.45106383,
DZA,74.88888889,35.55555556
EAP,11.49073749,
EAR,15.09148975,
EAS,11.33022564,
ECA,5.558703217,
ECS,7.406689045,
ECU,2.241862568,
EGY,4333.333333,3270.555556
EMU,20.35316314,
ERI,20.78571429,
ESP,33.5881295,35.17685851
EST,13.53265146,15.6884343
ETH,8.647540984,
EUU,16.4547309,
FCS,5.393679718,
FIN,6.13271028,2.782866044
FJI,0.29737303,0.105078809
FRA,15.115,17.40833333
FRO,,
FSM,,
GAB,0.084817073,0.036585366
GBR,5.664827586,8.206896552
GEO,3.136074316,
GHA,3.240924092,
GIB,,
GIN,0.244823009,0.327433628
GMB,3.016666667,
GNB,1.09375,0.59875
GNQ,0.066923077,0.038461538
