cntry.code,gdppcppp.1115
ABW,36015
AFG,1891
AGO,7019
ALB,10820
AND,
ARB,15636
ARE,64066
ARG,19985
ARM,7695
ASM,
ATG,21421
AUS,44501
AUT,47265
AZE,16899
BDI,739
BEL,43519
BEN,1927
BFA,1598
BGD,2953
BGR,16837
BHR,42986
BHS,23202
BIH,10148
BLR,17506
BLZ,8229
BMU,53506
BOL,6284
BRA,15450
BRB,15900
BRN,80348
BTN,7559
BWA,15048
CAF,729
CAN,43366
CEB,24055
CHE,59438
CHI,
CHL,22091
CHN,12399
CIV,3031
CMR,2854
COD,700
COG,6015
COL,12701
COM,1453
CPV,6353
CRI,14529
CSS,15034
CUB,19797
CUW,
CYM,49902
CYP,31586
CZE,30903
DEU,45334
DJI,3116
DMA,10533
DNK,45949
DOM,12575
DZA,13850
EAP,11280
EAR,7936
EAS,14381
ECA,17712
ECS,28951
ECU,10891
EGY,10445
EMU,39084
ERI,1411
ESP,33138
EST,27116
ETH,1387
EUU,36540
FCS,3815
FIN,41279
FJI,8312
FRA,39162
FRO,
FSM,3432
GAB,18687
GBR,39097
GEO,8540
GHA,3887
GIB,
GIN,1215
GMB,1620
GNB,1409
GNQ,45242
GRC,26076
GRD,12075
GRL,
GTM,7239
GUM,
GUY,6842
HIC,43171
HKG,53442
HND,4773
HPC,2022
HRV,21607
HTI,1672
HUN,24418
IBD,11310
IBT,9235
IDA,3488
IDB,5216
IDN,9992
IDX,2520
IMN,
IND,5321
INX,
IRL,52042
IRN,17193
IRQ,14836
ISL,42682
ISR,33614
ITA,36452
JAM,8572
JOR,10603
JPN,38445
KAZ,23467
KEN,2849
KGZ,3172
KHM,3065
KIR,1866
KNA,22909
KOR,32974
KWT,76282
LAC,14575
LAO,4954
LBN,14713
LBR,809
LBY,11023
LCA,10593
LCN,15015
LDC,2385
LIC,1518
LIE,
LKA,10589
LMC,5801
LMY,9066
LSO,2774
LTE,14366
LTU,26205
LUX,95969
LVA,22485
MAC,127907
MAF,
MAR,7280
MCO,
MDA,4634
MDG,1419
MDV,11932
MEA,17915
MEX,16553
MHL,3756
MIC,9915
MKD,12751
MLI,1902
MLT,31260
MMR,4499
MNA,11817
MNE,14936
MNG,10849
MNP,
MOZ,1072
MRT,3658
MUS,18306
MWI,1130
MYS,24388
NAC,51969
NAM,9506
NCL,
NER,901
NGA,5644
NIC,4717
NLD,48025
NOR,64452
NPL,2262
NRU,7350
NZL,35335
OED,38518
OMN,41234
OSS,24214
PAK,4652
PAN,19796
PER,11623
PHL,6578
PLW,13810
PNG,2598
POL,24803
PRE,3501
PRI,34497
PRK,
PRT,27948
PRY,8324
PSE,4703
PSS,5254
PST,41557
PYF,
QAT,136543
ROU,19975
RUS,24620
RWA,1582
SAS,4984
SAU,50736
SDN,4043
SEN,2270
SGP,80406
SLB,2099
SLE,1696
SLV,8107
SMR,
SOM,
SRB,13553
SSA,3512
SSD,2234
SSF,3514
SST,21282
STP,2980
SUR,16107
SVK,27876
SVN,30044
SWE,45699
SWZ,8188
SXM,36327
SYC,25241
SYR,
TCA,
TCD,2059
TEA,11400
TEC,18350
TGO,1354
THA,15212
TJK,2540
TKM,14032
TLA,14755
TLS,2235
TMN,11905
TON,5264
TSA,4984
TSS,3514
TTO,32495
TUN,10904
TUR,19144
TUV,3682
TZA,2427
UGA,1751
UKR,8402
UMC,14522
URY,19759
USA,52924
UZB,5266
VCT,10522
VEN,17750
VGB,
VIR,
VNM,5342
VUT,2979
WLD,14634
WSM,5776
XKX,8910
YEM,3698
ZAF,12791
ZMB,3642
ZWE,1707
