country,cntry.code,Item,no.ha
Afghanistan,AFG,Cattle and Buffaloes,0.15
Albania,ALB,Cattle and Buffaloes,0.41
Algeria,DZA,Cattle and Buffaloes,0.04
Angola,AGO,Cattle and Buffaloes,0.08
Antigua and Barbuda,ATG,Cattle and Buffaloes,1.62
Argentina,ARG,Cattle and Buffaloes,0.33
Armenia,ARM,Cattle and Buffaloes,0.33
Australia,AUS,Cattle and Buffaloes,0.07
Austria,AUT,Cattle and Buffaloes,0.7
Azerbaijan,AZE,Cattle and Buffaloes,0.56
Bahamas,BHS,Cattle and Buffaloes,0.05
Bahrain,BHR,Cattle and Buffaloes,1.2
Bangladesh,BGD,Cattle and Buffaloes,2.69
Barbados,BRB,Cattle and Buffaloes,0.72
Belarus,BLR,Cattle and Buffaloes,0.47
Belgium,BEL,Cattle and Buffaloes,1.9
Belize,BLZ,Cattle and Buffaloes,0.58
Benin,BEN,Cattle and Buffaloes,0.6
Bermuda,BMU,Cattle and Buffaloes,0.88
Bhutan,BTN,Cattle and Buffaloes,0.6
Bolivia,BOL,Cattle and Buffaloes,0.23
Bosnia Herzegovina,BIH,Cattle and Buffaloes,0.21
Botswana,BWA,Cattle and Buffaloes,0.11
Brazil,BRA,Cattle and Buffaloes,0.78
British Virgin Islands,VGB,Cattle and Buffaloes,0.34
Brunei,BRN,Cattle and Buffaloes,0.44
Bulgaria,BGR,Cattle and Buffaloes,0.11
Burkina Faso,BFA,Cattle and Buffaloes,0.73
Burundi,BDI,Cattle and Buffaloes,0.29
Cote dIvoire,CIV,Cattle and Buffaloes,0.08
Cape Verde,CPV,Cattle and Buffaloes,0.62
Cambodia,KHM,Cattle and Buffaloes,0.73
Cameroon,CMR,Cattle and Buffaloes,0.5
Canada,CAN,Cattle and Buffaloes,0.19
Cayman Islands,CYM,Cattle and Buffaloes,0.76
Central African Republic,CAF,Cattle and Buffaloes,0.82
Chad,TCD,Cattle and Buffaloes,0.15
Chile,CHL,Cattle and Buffaloes,0.24
China,CHN,Cattle and Buffaloes,0.2
Colombia,COL,Cattle and Buffaloes,0.66
Comoros,COM,Cattle and Buffaloes,0.32
Congo,COG,Cattle and Buffaloes,0.03
Cook Islands,COK,Cattle and Buffaloes,0.04
Costa Rica,CRI,Cattle and Buffaloes,0.73
Croatia,HRV,Cattle and Buffaloes,0.34
Cuba,CUB,Cattle and Buffaloes,0.62
Cyprus,CYP,Cattle and Buffaloes,0.48
Czech Republic,CZE,Cattle and Buffaloes,0.32
Korea North,PRK,Cattle and Buffaloes,0.23
Congo Dem Rep,COD,Cattle and Buffaloes,0.03
Denmark,DNK,Cattle and Buffaloes,0.58
Djibouti,DJI,Cattle and Buffaloes,0.17
Dominica,DMA,Cattle and Buffaloes,0.52
Dominican Republic,DOM,Cattle and Buffaloes,1.21
Ecuador,ECU,Cattle and Buffaloes,0.73
Egypt,EGY,Cattle and Buffaloes,2.35
El Salvador,SLV,Cattle and Buffaloes,0.66
Equatorial Guinea,GNQ,Cattle and Buffaloes,0.02
Eritrea,ERI,Cattle and Buffaloes,0.27
Estonia,EST,Cattle and Buffaloes,0.25
Ethiopia,ETH,Cattle and Buffaloes,1.5
Fiji,FJI,Cattle and Buffaloes,0.73
Finland,FIN,Cattle and Buffaloes,0.4
France,FRA,Cattle and Buffaloes,0.66
French Guiana,GUF,Cattle and Buffaloes,0.62
French Polynesia,PYF,Cattle and Buffaloes,0.16
Gabon,GAB,Cattle and Buffaloes,0.01
Gambia,GMB,Cattle and Buffaloes,0.65
Georgia,GEO,Cattle and Buffaloes,0.45
Germany,DEU,Cattle and Buffaloes,0.75
Ghana,GHA,Cattle and Buffaloes,0.09
Greece,GRC,Cattle and Buffaloes,0.08
Grenada,GRD,Cattle and Buffaloes,0.4
Guadeloupe,GLP,Cattle and Buffaloes,1.79
Guam,GUM,Cattle and Buffaloes,0.01
Guatemala,GTM,Cattle and Buffaloes,0.77
Guinea,GIN,Cattle and Buffaloes,0.35
Guinea Bissau,GNB,Cattle and Buffaloes,0.4
Guyana,GUY,Cattle and Buffaloes,0.07
Haiti,HTI,Cattle and Buffaloes,0.82
Honduras,HND,Cattle and Buffaloes,0.82
Hungary,HUN,Cattle and Buffaloes,0.13
Iceland,ISL,Cattle and Buffaloes,0.05
India,IND,Cattle and Buffaloes,1.8
Indonesia,IDN,Cattle and Buffaloes,0.3
Iran,IRN,Cattle and Buffaloes,0.18
Iraq,IRQ,Cattle and Buffaloes,0.23
Ireland,IRL,Cattle and Buffaloes,1.43
Israel,ISR,Cattle and Buffaloes,0.86
Italy,ITA,Cattle and Buffaloes,0.44
Jamaica,JAM,Cattle and Buffaloes,0.37
Japan,JPN,Cattle and Buffaloes,0.93
Jordan,JOR,Cattle and Buffaloes,0.07
Kazakhstan,KAZ,Cattle and Buffaloes,0.03
Kenya,KEN,Cattle and Buffaloes,0.66
Kuwait,KWT,Cattle and Buffaloes,0.23
Kyrgyzstan,KGZ,Cattle and Buffaloes,0.13
Laos,LAO,Cattle and Buffaloes,1.14
Latvia,LVA,Cattle and Buffaloes,0.21
Lebanon,LBN,Cattle and Buffaloes,0.1
Lesotho,LSO,Cattle and Buffaloes,0.28
Liberia,LBR,Cattle and Buffaloes,0.02
Libya,LBY,Cattle and Buffaloes,0.01
Liechtenstein,LIE,Cattle and Buffaloes,0.95
Lithuania,LTU,Cattle and Buffaloes,0.27
Luxembourg,LUX,Cattle and Buffaloes,1.47
Madagascar,MDG,Cattle and Buffaloes,0.24
Malawi,MWI,Cattle and Buffaloes,0.2
Malaysia,MYS,Cattle and Buffaloes,0.13
Mali,MLI,Cattle and Buffaloes,0.23
Malta,MLT,Cattle and Buffaloes,1.46
Martinique,MTQ,Cattle and Buffaloes,0.69
Mauritania,MRT,Cattle and Buffaloes,0.04
Mauritius,MUS,Cattle and Buffaloes,0.07
Mexico,MEX,Cattle and Buffaloes,0.32
Federated States of Micronesia,FSM,Cattle and Buffaloes,0.64
Mongolia,MNG,Cattle and Buffaloes,0.02
Montenegro,MNE,Cattle and Buffaloes,0.17
Monserrat,MSR,Cattle and Buffaloes,3.27
Morocco,MAR,Cattle and Buffaloes,0.1
Mozambique,MOZ,Cattle and Buffaloes,0.03
Myanmar,MMR,Cattle and Buffaloes,1.32
Namibia,NAM,Cattle and Buffaloes,0.06
Nepal,NPL,Cattle and Buffaloes,2.87
Netherlands,NLD,Cattle and Buffaloes,2.05
New Caledonia,NCL,Cattle and Buffaloes,0.36
New Zealand,NZL,Cattle and Buffaloes,0.88
Nicaragua,NIC,Cattle and Buffaloes,0.73
Niger,NER,Cattle and Buffaloes,0.22
Nigeria,NGA,Cattle and Buffaloes,0.25
Niue,NIU,Cattle and Buffaloes,0.02
Norfolk Island,NFK,Cattle and Buffaloes,0
Norway,NOR,Cattle and Buffaloes,0.86
Palestinian Territory,PSE,Cattle and Buffaloes,0.12
Oman,OMN,Cattle and Buffaloes,0.19
Pakistan,PAK,Cattle and Buffaloes,2.53
Panama,PAN,Cattle and Buffaloes,0.73
Papua New Guinea,PNG,Cattle and Buffaloes,0.08
Paraguay,PRY,Cattle and Buffaloes,0.59
Peru,PER,Cattle and Buffaloes,0.26
Philippines,PHL,Cattle and Buffaloes,0.46
Poland,POL,Cattle and Buffaloes,0.39
Portugal,PRT,Cattle and Buffaloes,0.41
Puerto Rico,PRI,Cattle and Buffaloes,2
Qatar,QAT,Cattle and Buffaloes,0.15
Reunion,REU,Cattle and Buffaloes,0.58
Korea South,KOR,Cattle and Buffaloes,1.91
Moldova,MDA,Cattle and Buffaloes,0.09
Romania,ROU,Cattle and Buffaloes,0.14
Russia,RUS,Cattle and Buffaloes,0.09
Rwanda,RWA,Cattle and Buffaloes,0.6
Saint Helena-Ascension-Tristan da Cunha,SHN,Cattle and Buffaloes,0.06
St Kitts Nevis,KNA,Cattle and Buffaloes,0.58
Saint Lucia,LCA,Cattle and Buffaloes,1
Saint-Pierre-et-Miquelon,SPM,Cattle and Buffaloes,0.02
St Vincent and the Grenadines,VCT,Cattle and Buffaloes,0.52
Samoa,WSM,Cattle and Buffaloes,0.86
Sao Tome and Principe,STP,Cattle and Buffaloes,0.1
