cntry.code,pcemiss13
ABW,8.515395303
AFG,0.693183411
AGO,1.384496389
ALB,1.662184826
AND,6.473847856
ARB,4.700368864
ARE,18.70823579
ARG,4.46229798
ARM,1.837058919
ASM,
ATG,5.827426793
AUS,16.34730205
AUT,7.360055782
AZE,3.785068836
BDI,0.028029921
BEL,8.371639275
BEN,0.561654398
BFA,0.17900836
BGD,0.438735966
BGR,5.445648555
BHR,23.68257416
BHS,8.229959163
BIH,5.729428254
BLR,6.736650116
BLZ,1.5022008
BMU,5.585037153
BOL,1.894511704
BRA,2.465870235
BRB,5.127255286
BRN,18.91873613
BTN,1.171088881
BWA,2.49183004
CAF,0.063053981
CAN,13.53229485
CEB,6.346323253
CHE,4.987795181
CHI,
CHL,4.732135712
CHN,7.550916485
CIV,0.415669842
CMR,0.306750488
COD,0.038311184
COG,0.56494545
COL,1.893127874
COM,0.214644997
CPV,0.874716614
CRI,1.618286928
CSS,9.351810571
CUB,3.462227387
CUW,34.16163488
CYM,9.235193339
CYP,5.209883572
CZE,9.383496546
DEU,9.220590804
DJI,0.704087888
DMA,1.833372682
DNK,6.779623867
DOM,2.146755872
DZA,3.51478009
EAP,5.802840965
EAR,2.209092282
EAS,6.342882249
ECA,7.741759817
ECS,7.272529986
ECU,2.779287585
EGY,2.431261947
EMU,6.792530782
ERI,
ESP,5.082982524
EST,15.11041148
ETH,0.112462805
EUU,6.714521135
FCS,0.891648509
FIN,8.512553843
FJI,1.940769143
FRA,5.050482994
FRO,12.30129214
FSM,1.414219325
GAB,2.88187119
GBR,7.133721709
GEO,1.988881356
GHA,0.558786409
GIB,15.49110971
GIN,0.192422941
GMB,0.263208415
GNB,0.146084144
GNQ,6.790382922
GRC,6.306851095
GRD,2.873987271
GRL,10.06293929
GTM,0.866574175
GUM,
GUY,2.544141975
HIC,10.9937091
HKG,6.260047304
HND,1.15489309
HPC,0.267243631
HRV,4.161866621
HTI,0.23061016
HUN,4.188863187
IBD,4.588448905
IBT,3.541123395
IDA,0.612337249
IDB,1.099347813
IDN,1.907781259
IDX,0.342123499
IMN,
IND,1.590272829
INX,
IRL,7.603873306
IRN,7.996848538
IRQ,4.920137222
ISL,6.082143166
ISR,8.818635647
ITA,5.723809985
JAM,2.846155093
JOR,3.438369043
JPN,9.764393145
KAZ,15.43279448
KEN,0.304402198
KGZ,1.720789566
KHM,0.369653238
KIR,0.574320091
KNA,5.132354837
KOR,11.79815008
KWT,27.2589637
LAC,2.88961895
LAO,0.330476589
LBN,4.271123267
LBR,0.222905369
LBY,8.145719581
LCA,2.232725378
LCN,3.038818996
LDC,0.310547428
LIC,0.279829627
LIE,1.386015119
LKA,0.778696244
LMC,1.428739502
LMY,3.494451233
LSO,1.102004214
LTE,6.785791131
LTU,4.273657237
LUX,18.70078217
LVA,3.518240904
MAC,3.815111538
MAF,
MAR,1.750481949
MCO,
MDA,1.398349504
MDG,0.134205996
MDV,2.668605598
MEA,5.972373737
MEX,3.948615246
MHL,1.945136968
MIC,3.853667821
MKD,4.002210811
MLI,0.061882473
MLT,5.240130476
MMR,0.237874069
MNA,3.945450743
MNE,3.61855388
MNG,14.54654876
MNP,
MOZ,0.151849649
MRT,0.683653507
MUS,2.960046971
MWI,0.078594138
MYS,8.026727068
NAC,16.10208996
NAM,1.256404181
NCL,14.68194297
NER,0.106860921
NGA,0.553477351
NIC,0.768475284
NLD,10.11475925
NOR,11.74032423
NPL,0.233576269
NRU,4.346074074
NZL,7.64505234
OED,9.654716802
OMN,15.66042312
OSS,6.832942317
PAK,0.846439474
PAN,2.723017655
PER,1.869883854
PHL,1.006838603
PLW,10.69300636
PNG,0.830847585
POL,7.947728476
PRE,0.547302532
PRI,
PRK,2.012042639
PRT,4.423980771
PRY,0.769054525
PSE,0.584854657
PSS,1.334013528
PST,10.50619945
PYF,2.967879002
QAT,40.46235547
ROU,3.539707601
RUS,12.46681628
RWA,0.072160963
SAS,1.356108852
SAU,17.92748481
SDN,0.309100309
SEN,0.592298342
SGP,9.36384739
SLB,0.353171567
SLE,0.192879462
SLV,1.044162516
SMR,
SOM,0.060710992
SRB,6.263063271
SSA,0.826391813
SSD,0.126461413
SSF,0.826994218
SST,6.970446712
STP,0.623277006
SUR,3.938871497
SVK,6.221186601
SVN,7.010182271
SWE,4.617181884
SWZ,0.870832637
SXM,20.83579643
SYC,7.178998888
SYR,1.866465075
TCA,5.981874755
TCD,0.046305478
TEA,5.850489548
TEC,7.72422961
TGO,0.321781847
THA,4.493869484
TJK,0.442107108
TKM,12.76570432
TLA,3.000113997
TLS,0.372893449
TMN,3.985961132
TON,1.988025376
TSA,1.356108852
TSS,0.826994218
TTO,34.52023675
TUN,2.541451798
TUR,4.243452638
TUV,
TZA,0.214118777
UGA,0.133852656
UKR,5.959632751
UMC,6.554018912
URY,2.231639431
USA,16.38975799
UZB,3.413198669
VCT,1.911869895
VEN,6.128008629
VGB,6.057402437
VIR,
VNM,1.700368284
VUT,0.420054115
WLD,4.995559009
WSM,1.251930248
XKX,
YEM,0.992679614
ZAF,8.859169093
ZMB,0.25086314
ZWE,0.924989992
