cntry.code,povgap0615
ABW,
AFG,8.15
AGO,12.70
ALB,2.60
AND,
ARB,
ARE,
ARG,
ARM,6.41
ASM,
ATG,
AUS,
AUT,
AZE,2.00
BDI,30.90
BEL,
BEN,9.90
BFA,12.40
BGD,6.50
BGR,
BHR,
BHS,
BIH,
BLR,
BLZ,
BMU,
BOL,22.98
BRA,
BRB,
BRN,
BTN,4.35
BWA,
CAF,33.10
CAN,
CEB,
CHE,
CHI,
CHL,
CHN,
CIV,17.25
CMR,13.35
COD,26.10
COG,16.70
COL,12.38
COM,
CPV,8.10
CRI,8.37
CSS,
CUB,
CUW,
CYM,
CYP,
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,
DZA,
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,11.51
EGY,
EMU,
ERI,
ESP,
EST,
ETH,7.80
EUU,
FCS,
FIN,
FJI,9.90
FRA,
FRO,
FSM,15.10
GAB,
GBR,
GEO,5.63
GHA,7.80
GIB,
GIN,18.00
GMB,27.90
GNB,
GNQ,45.30
GRC,
GRD,
GRL,
GTM,
GUM,
GUY,
HIC,
HKG,
HND,49.84
HPC,
HRV,
HTI,24.40
HUN,
IBD,
IBT,
IDA,
IDB,
IDN,2.66
IDX,
IMN,
IND,5.10
INX,
IRL,
IRN,
IRQ,4.40
ISL,
ISR,
ITA,
JAM,
JOR,3.10
JPN,
KAZ,1.35
KEN,
KGZ,7.16
KHM,6.53
KIR,
KNA,
KOR,
KWT,
LAC,
LAO,6.00
LBN,7.00
LBR,24.40
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,2.00
LMC,
LMY,
LSO,29.50
LTE,
LTU,
LUX,
LVA,
MAC,
MAF,
MAR,1.90
MCO,
MDA,4.47
MDG,33.90
MDV,4.10
MEA,
MEX,0.45
MHL,
MIC,
MKD,
MLI,14.95
MLT,
MMR,
MNA,
MNE,1.58
MNG,8.25
MNP,
MOZ,21.20
MRT,14.50
MUS,
MWI,18.90
MYS,0.80
NAC,
NAM,8.80
NCL,
NER,19.60
NGA,17.00
NIC,11.10
NLD,
NOR,
NPL,5.40
NRU,
NZL,
OED,
OMN,
OSS,
PAK,5.83
PAN,
PER,8.66
PHL,5.42
PLW,
PNG,15.70
POL,
PRE,
PRI,
PRK,
PRT,
PRY,37.77
PSE,6.56
PSS,
PST,
PYF,
QAT,
ROU,
RUS,1.20
RWA,14.80
SAS,
SAU,
SDN,16.20
SEN,14.50
SGP,
SLB,3.20
SLE,16.10
SLV,
SMR,
SOM,
SRB,
SSA,
SSD,23.70
SSF,
SST,
STP,23.00
SUR,
SVK,
SVN,
SWE,
SWZ,30.40
SXM,
SYC,12.40
SYR,7.40
TCA,
TCD,19.70
TEA,
TEC,
TGO,23.37
THA,
TJK,
TKM,
TLA,
TLS,12.00
TMN,
TON,
TSA,
TSS,
TTO,
TUN,3.90
TUR,
TUV,
TZA,6.70
UGA,6.00
UKR,
UMC,
URY,3.74
USA,
UZB,
VCT,
VEN,
VGB,
VIR,
VNM,5.20
VUT,
WLD,
WSM,
XKX,9.43
YEM,
ZAF,
ZMB,28.00
ZWE,34.10
