country,cntry.code,hsize.avg,year
Algeria,DZA,5.9,2011
Angola,AGO,,
Benin,BEN,5,2011
Botswana,BWA,3.7,2011
Burkina Faso,BFA,5.7,2010
Burundi,BDI,4.8,2010
Cameroon,CMR,5,2011
Cape Verde,CPV,,
Central African Republic,CAF,4.9,1994
Chad,TCD,5.8,2014
Comoros,COM,5.4,2010
Congo,COG,4.3,2011
Congo Dem Rep,COD,5.3,2013
Cote dIvoire,CIV,5.4,2014
Djibouti,DJI,,
Egypt,EGY,4.1,2014
Equatorial Guinea,GNQ,4.7,2015
Eritrea,ERI,,
Ethiopia,ETH,4.6,2011
Gabon,GAB,4.1,2013
Gambia,GMB,8.2,2013
Ghana,GHA,3.5,2014
Guinea,GIN,7.2,2014
Guinea Bissau,GNB,,
Kenya,KEN,3.9,2014
Lesotho,LSO,3.3,2014
Liberia,LBR,5,2013
Libya,LBY,5.6,2006
Madagascar,MDG,4.7,2008
Malawi,MWI,4.5,2015
Mali,MLI,5.7,2012
Mauritania,MRT,6.1,2013
Mauritius,MUS,,
Mayotte,MYT,4.1,2012
Morocco,MAR,4.6,2014
Mozambique,MOZ,4.4,2011
Namibia,NAM,4.4,2011
Niger,NER,7.1,2012
Nigeria,NGA,4.6,2013
Reunion,REU,,
Rwanda,RWA,4.3,2014
Saint Helena-Ascension-Tristan da Cunha,SHN,,
Sao Tome and Principe,STP,4,2012
Senegal,SEN,8.3,2015
Seychelles,SYC,3.8,2002
Sierra Leone,SLE,5.6,2015
Somalia,SOM,5.9,2014
South Africa,ZAF,3.2,2011
South Sudan,SSD,5.9,2008
Sudan,SDN,5.6,2008
Swaziland,SWZ,4.7,2007
Tanzania,TZA,4.9,2015
Togo,TGO,5.7,2011
Tunisia,TUN,4,2014
Uganda,UGA,4.7,2014
Western Sahara,ESH,,
Zambia,ZMB,5.1,2013
Zimbabwe,ZWE,4.1,2015
